# Weather station Albury (airport), Australia, WMO_ID=95896,selection from 01.01.2018 till 30.06.2019, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=95896&lang=en
#
"Local time in Albury (airport)";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"26.02.2019 18:00";"33.1";"747.9";"762.1";"-0.5";"18";"Wind blowing from the west";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"5.6";"";"";"";"";"";"";
"26.02.2019 17:00";"34.2";"747.9";"762.1";"-1.1";"19";"Wind blowing from the north-northwest";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"7.3";"";"";"";"";"";"";
"26.02.2019 15:00";"34.2";"748.4";"762.6";"-2.0";"20";"Wind blowing from the west";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"8.0";"";"";"";"";"";"";
"26.02.2019 14:00";"33.2";"749.0";"763.2";"-2.2";"21";"Wind blowing from the north-northwest";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"7.9";"No precipitation";"6";"";"";"";"";
"26.02.2019 12:00";"31.2";"750.4";"764.7";"-1.6";"24";"Wind blowing from the south-west";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"8.2";"";"";"";"";"";"";
"26.02.2019 11:00";"28.8";"751.2";"765.4";"-0.7";"29";"Wind blowing from the north-northeast";"3";"";"";"";" ";"";"";"15.8";"";"";"";"";"";"";"";"9.0";"";"";"";"";"";"";
"26.02.2019 09:00";"23.7";"752.0";"766.3";"1.0";"44";"Wind blowing from the south-east";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"10.7";"";"";"";"";"";"";
"26.02.2019 08:00";"21.5";"751.9";"766.1";"1.1";"48";"Wind blowing from the north-northeast";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"10.0";"No precipitation";"24";"";"";"";"";
"26.02.2019 06:00";"16.7";"751.0";"765.3";"0.3";"67";"Calm, no wind";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"10.5";"";"";"";"";"";"";
"26.02.2019 05:00";"16.9";"750.8";"765.1";"0.0";"62";"Wind blowing from the north-east";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"9.6";"";"";"";"";"";"";
"26.02.2019 03:00";"17.4";"750.7";"765.0";"-0.6";"58";"Wind blowing from the east-northeast";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"9.1";"";"";"";"";"";"";
"26.02.2019 02:00";"17.6";"750.8";"765.1";"-0.6";"58";"Wind blowing from the north-east";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"9.2";"No precipitation";"6";"";"";"";"";
"26.02.2019 00:00";"19.5";"751.3";"765.6";"-0.1";"50";"Calm, no wind";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"8.8";"";"";"";"";"";"";
"25.02.2019 23:00";"20.0";"751.4";"765.7";"0.0";"47";"Calm, no wind";"0";"";"";"";" ";"";"";"";"31.8";"";"";"";"";"";"";"8.4";"";"";"";"";"";"";
"25.02.2019 21:00";"23.1";"751.4";"765.7";"0.7";"39";"Wind blowing from the north-west";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"8.4";"";"";"";"";"";"";
"25.02.2019 20:00";"25.3";"751.4";"765.7";"0.6";"31";"Wind blowing from the west";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"7.0";"No precipitation";"6";"";"";"";"";
"25.02.2019 18:00";"30.6";"750.7";"764.9";"-1.5";"22";"Wind blowing from the west-northwest";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"6.5";"";"";"";"";"";"";
"25.02.2019 17:00";"31.4";"750.8";"765.1";"-2.3";"21";"Wind blowing from the west-southwest";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"6.5";"";"";"";"";"";"";
"25.02.2019 15:00";"30.4";"752.2";"766.4";"-2.5";"23";"Wind blowing from the west";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"7.0";"";"";"";"";"";"";
"25.02.2019 14:00";"29.2";"753.1";"767.3";"-2.5";"25";"Wind blowing from the north-northeast";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"7.2";"No precipitation";"6";"";"";"";"";
"25.02.2019 12:00";"26.5";"754.7";"769.0";"-1.8";"30";"Wind blowing from the west";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"7.5";"";"";"";"";"";"";
"25.02.2019 11:00";"25.9";"755.6";"769.9";"-0.9";"34";"Wind blowing from the south";"3";"";"";"";" ";"";"";"12.1";"";"";"";"";"";"";"";"8.8";"";"";"";"";"";"";
"25.02.2019 09:00";"21.6";"756.5";"770.8";"1.0";"43";"Wind blowing from the south-southwest";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"8.5";"";"";"";"";"";"";
"25.02.2019 08:00";"19.5";"756.5";"770.8";"1.3";"50";"Wind blowing from the south-east";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"8.8";"No precipitation";"24";"";"";"";"";
"25.02.2019 06:00";"12.9";"755.5";"769.9";"0.9";"87";"Calm, no wind";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"10.8";"";"";"";"";"";"";
"25.02.2019 05:00";"13.2";"755.2";"769.5";"0.8";"63";"Calm, no wind";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"6.3";"";"";"";"";"";"";
"25.02.2019 03:00";"15.3";"754.6";"768.9";"0.3";"59";"Wind blowing from the east";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"7.3";"";"";"";"";"";"";
"25.02.2019 02:00";"15.2";"754.4";"768.7";"0.4";"62";"Calm, no wind";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"8.0";"No precipitation";"6";"";"";"";"";
"25.02.2019 00:00";"19.7";"754.3";"768.6";"0.7";"47";"Wind blowing from the south-east";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"8.1";"";"";"";"";"";"";
"24.02.2019 23:00";"19.2";"754.0";"768.4";"0.8";"41";"Wind blowing from the east";"2";"";"";"";" ";"";"";"";"31.7";"";"";"";"";"";"";"5.6";"";"";"";"";"";"";
"24.02.2019 21:00";"22.3";"753.6";"767.8";"1.1";"33";"Calm, no wind";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"5.3";"";"";"";"";"";"";
"24.02.2019 20:00";"25.3";"753.2";"767.5";"0.5";"25";"Wind blowing from the north-northwest";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"3.9";"No precipitation";"6";"";"";"";"";
"24.02.2019 18:00";"30.3";"752.5";"766.8";"-0.9";"13";"Wind blowing from the north";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-1.2";"";"";"";"";"";"";
"24.02.2019 17:00";"30.5";"752.7";"766.9";"-1.3";"12";"Wind blowing from the south-east";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-2.1";"";"";"";"";"";"";
"24.02.2019 15:00";"30.8";"753.4";"767.6";"-1.8";"21";"Wind blowing from the south-west";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"6.0";"";"";"";"";"";"";
"24.02.2019 14:00";"29.8";"754.0";"768.3";"-1.8";"24";"Wind blowing from the east-southeast";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"7.1";"No precipitation";"6";"";"";"";"";
"24.02.2019 12:00";"26.7";"755.2";"769.5";"-0.8";"29";"Wind blowing from the south-southeast";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"7.2";"";"";"";"";"";"";
"24.02.2019 11:00";"25.3";"755.8";"770.1";"0.0";"31";"Wind blowing from the south-west";"2";"";"";"";" ";"";"";"13.6";"";"";"";"";"";"";"";"7.0";"";"";"";"";"";"";
"24.02.2019 09:00";"22.3";"756.0";"770.3";"1.2";"41";"Wind blowing from the north-northeast";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"8.4";"";"";"";"";"";"";
"24.02.2019 08:00";"19.5";"755.8";"770.1";"1.8";"51";"Wind blowing from the south-southeast";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"9.1";"No precipitation";"24";"";"";"";"";
"24.02.2019 06:00";"14.0";"754.8";"769.1";"1.4";"71";"Calm, no wind";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"8.8";"";"";"";"";"";"";
"24.02.2019 05:00";"14.2";"754.0";"768.4";"0.6";"69";"Calm, no wind";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"8.6";"";"";"";"";"";"";
"24.02.2019 03:00";"17.9";"753.4";"767.7";"0.1";"57";"Wind blowing from the south-southeast";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"9.3";"";"";"";"";"";"";
"24.02.2019 02:00";"18.4";"753.4";"767.7";"0.4";"52";"Wind blowing from the south";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"8.4";"No precipitation";"6";"";"";"";"";
"24.02.2019 00:00";"21.4";"753.3";"767.5";"1.1";"46";"Wind blowing from the south-east";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"9.3";"";"";"";"";"";"";
"23.02.2019 23:00";"22.6";"753.0";"767.2";"1.6";"45";"Wind blowing from the south-east";"5";"";"";"";" ";"";"";"";"33.7";"";"";"";"";"";"";"10.1";"";"";"";"";"";"";
"23.02.2019 21:00";"24.9";"752.2";"766.5";"2.3";"37";"Wind blowing from the south-east";"6";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"9.2";"";"";"";"";"";"";
"23.02.2019 20:00";"26.5";"751.4";"765.7";"1.8";"32";"Wind blowing from the south-southeast";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"8.5";"No precipitation";"6";"";"";"";"";
"23.02.2019 18:00";"30.5";"749.9";"764.2";"0.1";"22";"Wind blowing from the south-east";"7";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"6.4";"";"";"";"";"";"";
"23.02.2019 17:00";"32.0";"749.6";"763.8";"-0.8";"18";"Wind blowing from the south-east";"6";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"4.7";"";"";"";"";"";"";
"23.02.2019 15:00";"32.9";"749.8";"764.1";"-1.6";"14";"Wind blowing from the south-east";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"1.9";"";"";"";"";"";"";
"23.02.2019 14:00";"31.2";"750.4";"764.6";"-1.7";"13";"Wind blowing from the east-southeast";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-0.5";"No precipitation";"6";"";"";"";"";
"23.02.2019 12:00";"29.3";"751.4";"765.7";"-1.4";"20";"Wind blowing from the south-southeast";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"4.0";"";"";"";"";"";"";
"23.02.2019 11:00";"27.7";"752.1";"766.3";"-0.4";"23";"Wind blowing from the south-east";"2";"";"";"";" ";"";"";"13.7";"";"";"";"";"";"";"";"4.7";"";"";"";"";"";"";
"23.02.2019 09:00";"22.8";"752.8";"767.0";"1.4";"38";"Wind blowing from the south-east";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"7.8";"";"";"";"";"";"";
"23.02.2019 08:00";"20.2";"752.5";"766.8";"1.6";"49";"Wind blowing from the south-southeast";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"9.2";"No precipitation";"24";"";"";"";"";
"23.02.2019 06:00";"13.9";"751.4";"765.7";"1.0";"64";"Wind blowing from the west-northwest";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"7.2";"";"";"";"";"";"";
"23.02.2019 05:00";"15.5";"750.9";"765.1";"0.6";"60";"Calm, no wind";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"7.8";"";"";"";"";"";"";
"23.02.2019 03:00";"17.8";"750.4";"764.7";"0.1";"50";"Wind blowing from the south-southeast";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"7.2";"";"";"";"";"";"";
"23.02.2019 02:00";"19.4";"750.3";"764.5";"0.4";"45";"Calm, no wind";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"7.2";"No precipitation";"6";"";"";"";"";
"23.02.2019 00:00";"20.9";"750.3";"764.5";"1.1";"41";"Wind blowing from the east-northeast";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"7.2";"";"";"";"";"";"";
"22.02.2019 23:00";"23.0";"749.9";"764.2";"1.3";"37";"Wind blowing from the south-east";"3";"";"";"";" ";"";"";"";"33.1";"";"";"";"";"";"";"7.5";"";"";"";"";"";"";
"22.02.2019 21:00";"25.9";"749.2";"763.3";"1.6";"30";"Wind blowing from the south-east";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"7.0";"";"";"";"";"";"";
"22.02.2019 20:00";"26.5";"748.6";"762.8";"1.0";"31";"Wind blowing from the south-southeast";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"8.0";"No precipitation";"6";"";"";"";"";
"22.02.2019 18:00";"31.2";"747.6";"761.8";"-0.4";"20";"Wind blowing from the east-southeast";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"5.6";"";"";"";"";"";"";
"22.02.2019 17:00";"32.0";"747.6";"761.8";"-1.0";"20";"Wind blowing from the south-east";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"6.2";"";"";"";"";"";"";
"22.02.2019 15:00";"31.8";"748.0";"762.2";"-1.9";"25";"Wind blowing from the south";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"9.3";"";"";"";"";"";"";
"22.02.2019 14:00";"30.3";"748.6";"762.8";"-2.0";"28";"Wind blowing from the south";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"9.8";"No precipitation";"6";"";"";"";"";
"22.02.2019 12:00";"28.3";"749.9";"764.2";"-1.2";"31";"Wind blowing from the south-west";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"9.6";"";"";"";"";"";"";
"22.02.2019 11:00";"26.9";"750.6";"764.8";"-0.4";"30";"Wind blowing from the east-southeast";"3";"";"";"";" ";"";"";"16.5";"";"";"";"";"";"";"";"7.9";"";"";"";"";"";"";
"22.02.2019 09:00";"22.3";"751.1";"765.4";"1.3";"40";"Wind blowing from the south-east";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"8.1";"";"";"";"";"";"";
"22.02.2019 08:00";"20.2";"751.0";"765.3";"1.6";"47";"Wind blowing from the south-southeast";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"8.5";"No precipitation";"24";"";"";"";"";
"22.02.2019 06:00";"17.0";"749.8";"764.1";"0.7";"57";"Wind blowing from the south-southeast";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"8.4";"";"";"";"";"";"";
"22.02.2019 05:00";"17.1";"749.4";"763.6";"0.5";"57";"Wind blowing from the south-southeast";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"8.5";"";"";"";"";"";"";
"22.02.2019 03:00";"18.6";"749.1";"763.3";"0.7";"53";"Wind blowing from the south-southeast";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"8.8";"";"";"";"";"";"";
"22.02.2019 02:00";"19.4";"748.9";"763.0";"0.7";"50";"Wind blowing from the south-east";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"8.7";"No precipitation";"6";"";"";"";"";
"22.02.2019 00:00";"20.9";"748.4";"762.6";"1.3";"46";"Wind blowing from the south-east";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"8.9";"";"";"";"";"";"";
"21.02.2019 23:00";"22.3";"748.2";"762.4";"1.7";"44";"Wind blowing from the east-southeast";"4";"";"";"";" ";"";"";"";"32.0";"";"";"";"";"";"";"9.5";"";"";"";"";"";"";
"21.02.2019 21:00";"23.9";"747.1";"761.3";"1.6";"37";"Wind blowing from the south";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"8.3";"";"";"";"";"";"";
"21.02.2019 20:00";"26.0";"746.5";"760.6";"1.2";"33";"Wind blowing from the south-southwest";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"8.5";"No precipitation";"6";"";"";"";"";
"21.02.2019 18:00";"30.4";"745.5";"759.6";"-0.2";"23";"Wind blowing from the east-southeast";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"7.0";"";"";"";"";"";"";
"21.02.2019 17:00";"31.1";"745.3";"759.4";"-1.0";"22";"Wind blowing from the south-east";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"6.9";"";"";"";"";"";"";
"21.02.2019 15:00";"30.9";"745.7";"759.9";"-1.5";"24";"Wind blowing from the east";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"8.0";"";"";"";"";"";"";
"21.02.2019 14:00";"30.1";"746.3";"760.5";"-1.4";"23";"Wind blowing from the south";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"6.7";"No precipitation";"6";"";"";"";"";
"21.02.2019 12:00";"28.6";"747.2";"761.4";"-0.7";"29";"Wind blowing from the north-northwest";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"8.8";"";"";"";"";"";"";
"21.02.2019 11:00";"27.1";"747.7";"761.9";"-0.1";"34";"Wind blowing from the north";"3";"";"";"";" ";"";"";"12.8";"";"";"";"";"";"";"";"9.9";"";"";"";"";"";"";
"21.02.2019 09:00";"23.5";"747.9";"762.1";"1.2";"45";"Wind blowing from the east";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"10.9";"";"";"";"";"";"";
"21.02.2019 08:00";"19.4";"747.8";"762.0";"1.6";"54";"Wind blowing from the south-southeast";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"9.9";"No precipitation";"24";"";"";"";"";
"21.02.2019 06:00";"13.4";"746.7";"760.9";"0.9";"68";"Calm, no wind";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"7.6";"";"";"";"";"";"";
"21.02.2019 05:00";"13.6";"746.2";"760.4";"0.6";"67";"Calm, no wind";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"7.6";"";"";"";"";"";"";
"21.02.2019 03:00";"14.8";"745.8";"760.0";"0.5";"60";"Calm, no wind";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"7.1";"";"";"";"";"";"";
"21.02.2019 02:00";"15.7";"745.6";"759.7";"0.5";"58";"Calm, no wind";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"7.5";"No precipitation";"6";"";"";"";"";
"21.02.2019 00:00";"17.8";"745.3";"759.4";"0.5";"46";"Wind blowing from the west-southwest";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"6.0";"";"";"";"";"";"";
"20.02.2019 23:00";"19.2";"745.1";"759.2";"1.0";"43";"Wind blowing from the west";"4";"";"";"";" ";"";"";"";"30.3";"";"";"";"";"";"";"6.3";"";"";"";"";"";"";
"20.02.2019 21:00";"22.9";"744.8";"758.9";"1.4";"34";"Wind blowing from the west-southwest";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"6.2";"";"";"";"";"";"";
"20.02.2019 20:00";"23.6";"744.1";"758.2";"1.1";"30";"Wind blowing from the west-southwest";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"5.0";"No precipitation";"6";"";"";"";"";
"20.02.2019 18:00";"28.2";"743.4";"757.5";"-0.1";"18";"Wind blowing from the west-southwest";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"1.7";"";"";"";"";"";"";
"20.02.2019 17:00";"29.5";"743.0";"757.1";"-1.1";"17";"Wind blowing from the west";"6";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"1.9";"";"";"";"";"";"";
"20.02.2019 15:00";"29.2";"743.5";"757.6";"-1.4";"22";"Wind blowing from the west";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"5.3";"";"";"";"";"";"";
"20.02.2019 14:00";"27.2";"744.1";"758.2";"-1.4";"26";"Wind blowing from the west";"7";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"6.0";"No precipitation";"6";"";"";"";"";
"20.02.2019 12:00";"25.6";"744.9";"759.0";"-1.2";"31";"Wind blowing from the south-southwest";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"7.2";"";"";"";"";"";"";
"20.02.2019 11:00";"22.4";"745.5";"759.6";"-0.4";"35";"Wind blowing from the north-northeast";"2";"";"";"";" ";"";"";"8.6";"";"";"";"";"";"";"";"6.2";"";"";"";"";"";"";
"20.02.2019 09:00";"18.6";"746.1";"760.3";"1.1";"48";"Wind blowing from the east-northeast";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"7.4";"";"";"";"";"";"";
"20.02.2019 08:00";"15.5";"745.9";"760.0";"1.3";"58";"Wind blowing from the east";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"7.3";"No precipitation";"24";"";"";"";"";
"20.02.2019 06:00";"10.4";"745.0";"759.1";"1.1";"86";"Calm, no wind";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"8.2";"";"";"";"";"";"";
"20.02.2019 05:00";"9.9";"744.6";"758.7";"0.7";"75";"Wind blowing from the north-east";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"5.7";"";"";"";"";"";"";
"20.02.2019 03:00";"12.0";"743.9";"758.0";"-0.2";"67";"Wind blowing from the east-southeast";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"6.1";"";"";"";"";"";"";
"20.02.2019 02:00";"13.4";"743.9";"758.0";"-0.2";"61";"Calm, no wind";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"6.0";"No precipitation";"6";"";"";"";"";
"20.02.2019 00:00";"15.7";"744.1";"758.2";"0.3";"50";"Wind blowing from the west-southwest";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"5.3";"";"";"";"";"";"";
"19.02.2019 23:00";"16.8";"744.1";"758.2";"0.9";"46";"Wind blowing from the west";"3";"";"";"";" ";"";"";"";"30.0";"";"";"";"";"";"";"5.1";"";"";"";"";"";"";
"19.02.2019 21:00";"20.1";"743.8";"757.9";"2.1";"34";"Wind blowing from the west";"6";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"3.8";"";"";"";"";"";"";
"19.02.2019 20:00";"22.0";"743.2";"757.3";"2.1";"31";"Wind blowing from the west";"7";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"4.1";"No precipitation";"6";"";"";"";"";
"19.02.2019 18:00";"26.6";"741.7";"755.7";"0.8";"21";"Wind blowing from the west";"6";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"2.5";"";"";"";"";"";"";
"19.02.2019 17:00";"28.1";"741.1";"755.2";"-0.4";"21";"Wind blowing from the west";"7";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"3.7";"";"";"";"";"";"";
"19.02.2019 15:00";"29.5";"740.9";"754.9";"-1.1";"17";"Wind blowing from the west";"6";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"1.9";"";"";"";"";"";"";
"19.02.2019 14:00";"28.4";"741.5";"755.5";"-0.8";"16";"Wind blowing from the west";"8";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"0.2";"No precipitation";"6";"";"";"";"";
"19.02.2019 12:00";"26.0";"742.0";"756.1";"-0.3";"27";"Wind blowing from the west";"7";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"5.6";"";"";"";"";"";"";
"19.02.2019 11:00";"25.6";"742.3";"756.4";"0.3";"32";"Wind blowing from the west";"5";"";"";"";" ";"";"";"14.6";"";"";"";"";"";"";"";"7.7";"";"";"";"";"";"";
"19.02.2019 09:00";"20.0";"742.3";"756.4";"1.2";"50";"Wind blowing from the west";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"9.3";"";"";"";"";"";"";
"19.02.2019 08:00";"17.7";"742.0";"756.1";"1.6";"57";"Wind blowing from the west";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"9.1";"No precipitation";"24";"";"";"";"";
"19.02.2019 06:00";"14.7";"741.1";"755.1";"1.5";"71";"Wind blowing from the north-west";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"9.5";"";"";"";"";"";"";
"19.02.2019 05:00";"16.7";"740.4";"754.4";"1.0";"67";"Wind blowing from the west";"7";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"10.5";"";"";"";"";"";"";
"19.02.2019 03:00";"20.9";"739.6";"753.7";"0.6";"55";"Wind blowing from the west-northwest";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"11.5";"";"";"";"";"";"";
"19.02.2019 02:00";"23.0";"739.4";"753.4";"0.4";"48";"Wind blowing from the west-northwest";"5";"";"";"90  or more, but not 100%";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"";"11.4";"No precipitation";"6";"";"";"";"";
"19.02.2019 00:00";"25.3";"739.0";"753.0";"0.3";"32";"Wind blowing from the west";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"7.4";"";"";"";"";"";"";
"18.02.2019 23:00";"26.4";"739.0";"753.1";"0.6";"30";"Wind blowing from the west";"3";"";"";"100%.";" ";"";"";"";"34.0";"";"";"2500 or more, or no clouds.";"";"";"";"7.4";"";"";"";"";"";"";
"18.02.2019 21:00";"25.0";"738.7";"752.8";"0.8";"43";"Calm, no wind";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"11.6";"";"";"";"";"";"";
"18.02.2019 20:00";"25.5";"738.4";"752.5";"0.6";"36";"Wind blowing from the north-northeast";"2";"";"";"100%.";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"";"9.3";"No precipitation";"6";"";"";"";"";
"18.02.2019 18:00";"31.9";"737.9";"751.9";"-0.1";"24";"Wind blowing from the south-southeast";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"8.8";"";"";"";"";"";"";
"18.02.2019 17:00";"32.1";"737.8";"751.9";"-1.2";"24";"Wind blowing from the south-southeast";"3";"";"";"50%.";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"";"9.0";"";"";"";"";"";"";
"18.02.2019 15:00";"32.4";"738.0";"752.0";"-1.3";"27";"Wind blowing from the south-east";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"11.0";"";"";"";"";"";"";
"18.02.2019 14:00";"29.2";"739.0";"753.1";"-1.5";"38";"Wind blowing from the south-southeast";"3";"";"";"60%.";" ";"";"";"";"";"";"";"2000-2500";"";"";"";"13.4";"No precipitation";"6";"";"";"";"";
"18.02.2019 12:00";"33.2";"739.3";"753.3";"-2.3";"19";"Wind blowing from the north";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"6.5";"";"";"";"";"";"";
"18.02.2019 11:00";"28.9";"740.5";"754.5";"-1.3";"32";"Wind blowing from the south-southeast";"3";"";"";"40%.";" ";"";"";"18.3";"";"";"";"2500 or more, or no clouds.";"";"";"";"10.6";"";"";"";"";"";"";
"18.02.2019 09:00";"23.6";"741.6";"755.6";"0.1";"44";"Wind blowing from the east-northeast";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"10.6";"";"";"";"";"";"";
"18.02.2019 08:00";"22.3";"741.8";"755.9";"0.4";"48";"Wind blowing from the north";"1";"";"";"50%.";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"";"10.8";"No precipitation";"24";"";"";"";"";
