# Weather station Launceston (airport), Australia, WMO_ID=95966,selection from 01.01.2018 till 30.06.2019, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=95966&lang=en
#
"Local time in Launceston (airport)";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"14.02.2019 18:00";"19.3";"746.5";"761.2";"1.4";"50";"Wind blowing from the west-northwest";"9";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"8.6";"";"";"";"";"";"";
"14.02.2019 17:00";"19.9";"745.9";"760.6";"1.1";"48";"Wind blowing from the west-northwest";"8";"";"";"50%.";"No significant weather observed. ";"";"";"";"";"";"";"1500-2000";"";"";"";"8.6";"";"";"";"";"";"";
"14.02.2019 16:00";"22.2";"745.5";"760.3";"0.9";"43";"Wind blowing from the west-northwest";"8";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"9.0";"";"";"";"";"";"";
"14.02.2019 15:00";"21.5";"745.1";"759.9";"1.0";"42";"Wind blowing from the west-northwest";"8";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"8.1";"";"";"";"";"";"";
"14.02.2019 14:00";"21.9";"744.8";"759.6";"0.9";"42";"Wind blowing from the west-northwest";"7";"";"";"60%.";"No significant weather observed. ";"";"";"";"";"";"";"1000-1500";"";"";"";"8.4";"No precipitation";"6";"";"";"";"";
"14.02.2019 13:00";"21.8";"744.6";"759.4";"0.6";"46";"Wind blowing from the north-west";"9";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"9.7";"";"";"";"";"";"";
"14.02.2019 12:00";"21.1";"744.1";"758.9";"0.6";"48";"Wind blowing from the north-west";"10";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"9.7";"";"";"";"";"";"";
"14.02.2019 11:00";"20.4";"743.9";"758.7";"0.1";"48";"Wind blowing from the north-west";"9";"";"";"10%  or less, but not 0";"No significant weather observed. ";"";"";"8.3";"";"";"";"1000-1500";"";"";"";"9.0";"";"";"";"";"";"";
"14.02.2019 10:00";"18.7";"744.0";"758.8";"1.1";"51";"Wind blowing from the north-northwest";"10";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"8.4";"";"";"";"";"";"";
"14.02.2019 09:00";"18.2";"743.5";"758.3";"0.8";"53";"Wind blowing from the north-northwest";"8";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"8.5";"";"";"";"";"";"";
"14.02.2019 08:00";"15.6";"743.8";"758.5";"1.5";"63";"Wind blowing from the north-northwest";"7";"";"";"20–30%.";"No significant weather observed. ";"";"";"";"";"";"";"600-1000";"";"";"";"8.6";"No precipitation";"24";"";"";"";"";
"14.02.2019 07:00";"13.5";"742.9";"757.6";"0.8";"73";"Wind blowing from the north-northwest";"8";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"8.8";"";"";"";"";"";"";
"14.02.2019 06:00";"11.8";"742.7";"757.4";"0.2";"79";"Wind blowing from the north-northwest";"8";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"8.3";"";"";"";"";"";"";
"14.02.2019 05:00";"11.2";"742.3";"757.0";"-0.3";"79";"Wind blowing from the north-northwest";"8";"";"";"100%.";"No significant weather observed. ";"";"";"";"";"";"";"1000-1500";"";"";"";"7.7";"";"";"";"";"";"";
"14.02.2019 04:00";"10.7";"742.1";"756.8";"-0.8";"79";"Wind blowing from the north-northwest";"8";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"7.2";"";"";"";"";"";"";
"14.02.2019 03:00";"10.8";"742.5";"757.2";"-0.6";"77";"Wind blowing from the north-northwest";"7";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"6.9";"";"";"";"";"";"";
"14.02.2019 02:00";"10.7";"742.6";"757.3";"-0.7";"71";"Wind blowing from the north-northwest";"7";"";"";"100%.";"No significant weather observed. ";"";"";"";"";"";"";"1500-2000";"";"";"";"5.7";"No precipitation";"6";"";"";"";"";
"14.02.2019 01:00";"8.9";"742.9";"757.6";"-0.3";"77";"Wind blowing from the north";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"5.1";"";"";"";"";"";"";
"14.02.2019 00:00";"10.0";"743.1";"757.8";"0.0";"70";"Wind blowing from the north-northwest";"6";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"4.8";"";"";"";"";"";"";
"13.02.2019 23:00";"10.0";"743.3";"758.0";"0.6";"68";"Wind blowing from the north";"5";"";"";"40%.";"No significant weather observed. ";"";"";"";"18.9";"";"";"1000-1500";"";"";"";"4.2";"";"";"";"";"";"";
"13.02.2019 22:00";"10.2";"743.2";"757.9";"1.1";"66";"Wind blowing from the north-northwest";"6";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"4.1";"";"";"";"";"";"";
"13.02.2019 21:00";"11.1";"743.1";"757.8";"1.8";"57";"Wind blowing from the north-west";"6";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"2.9";"";"";"";"";"";"";
"13.02.2019 20:00";"12.1";"742.7";"757.4";"2.2";"51";"Wind blowing from the north-west";"4";"";"";"";"No significant weather observed. ";"";"";"";"";"";"";"";"";"";"";"2.3";"No precipitation";"6";"";"";"";"";
"13.02.2019 19:00";"13.3";"742.1";"756.8";"2.1";"47";"Wind blowing from the west-northwest";"7";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"2.2";"";"";"";"";"";"";
"13.02.2019 18:00";"15.2";"741.3";"756.0";"1.5";"37";"Wind blowing from the west-northwest";"8";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"0.6";"";"";"";"";"";"";
"13.02.2019 17:00";"16.9";"740.5";"755.2";"1.0";"33";"Wind blowing from the west-northwest";"7";"";"";"";"No significant weather observed. ";"";"";"";"";"";"";"";"";"";"";"0.5";"";"";"";"";"";"";
"13.02.2019 16:00";"17.0";"740.0";"754.7";"0.7";"32";"Wind blowing from the west-northwest";"9";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"0.2";"";"";"";"";"";"";
"13.02.2019 15:00";"17.6";"739.8";"754.5";"0.8";"28";"Wind blowing from the west";"8";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-1.1";"";"";"";"";"";"";
"13.02.2019 14:00";"18.0";"739.5";"754.1";"0.8";"28";"Wind blowing from the north-west";"6";"";"";"100%.";"No significant weather observed. ";"";"";"";"";"";"";"2000-2500";"";"";"";"-0.8";"No precipitation";"6";"";"";"";"";
"13.02.2019 13:00";"15.8";"739.3";"754.0";"0.9";"35";"Wind blowing from the west-northwest";"7";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"0.4";"";"";"";"";"";"";
"13.02.2019 12:00";"16.2";"739.0";"753.6";"1.2";"29";"Wind blowing from the west-northwest";"6";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-1.8";"";"";"";"";"";"";
"13.02.2019 11:00";"15.9";"738.7";"753.4";"1.5";"32";"Wind blowing from the west-southwest";"6";"";"";"40%.";"No significant weather observed. ";"";"";"3.4";"";"";"";"1500-2000";"";"";"";"-0.8";"";"";"";"";"";"";
"13.02.2019 10:00";"12.9";"738.4";"753.0";"2.2";"47";"Wind blowing from the west";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"1.9";"";"";"";"";"";"";
"13.02.2019 09:00";"11.6";"737.8";"752.5";"2.7";"46";"Wind blowing from the west-southwest";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"0.4";"";"";"";"";"";"";
"13.02.2019 08:00";"10.3";"737.2";"751.9";"3.1";"60";"Wind blowing from the west";"3";"";"";"100%.";"No significant weather observed. ";"";"";"";"";"";"";"1500-2000";"";"";"";"2.9";"3.0";"24";"";"";"";"";
"13.02.2019 07:00";"7.8";"736.2";"750.8";"2.8";"76";"Wind blowing from the north-northwest";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"3.8";"";"";"";"";"";"";
"13.02.2019 06:00";"3.9";"735.1";"749.6";"2.0";"86";"Wind blowing from the north";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"1.8";"";"";"";"";"";"";
"13.02.2019 05:00";"4.8";"734.1";"748.6";"1.2";"85";"Wind blowing from the north-west";"4";"";"";"100%.";"No significant weather observed. ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"";"2.5";"";"";"";"";"";"";
"13.02.2019 04:00";"4.4";"733.4";"748.0";"0.7";"87";"Wind blowing from the north-northwest";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"2.4";"";"";"";"";"";"";
"13.02.2019 03:00";"4.5";"733.1";"747.7";"0.4";"87";"Wind blowing from the north";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"2.5";"";"";"";"";"";"";
"13.02.2019 02:00";"4.8";"732.9";"747.4";"0.4";"88";"Wind blowing from the north-west";"5";"";"";"70 – 80%.";"No significant weather observed. ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"";"3.0";"No precipitation";"6";"";"";"";"";
"13.02.2019 01:00";"4.6";"732.7";"747.3";"0.2";"79";"Wind blowing from the north-northwest";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"1.3";"";"";"";"";"";"";
"13.02.2019 00:00";"6.2";"732.7";"747.3";"0.6";"75";"Wind blowing from the north-northwest";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"2.1";"";"";"";"";"";"";
"12.02.2019 23:00";"6.6";"732.5";"747.1";"1.0";"72";"Wind blowing from the north-northwest";"4";"";"";"40%.";"No significant weather observed. ";"";"";"";"16.7";"";"";"2500 or more, or no clouds.";"";"";"";"1.9";"";"";"";"";"";"";
"12.02.2019 22:00";"6.4";"732.5";"747.1";"1.8";"71";"Wind blowing from the north-northwest";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"1.5";"";"";"";"";"";"";
"12.02.2019 21:00";"7.4";"732.1";"746.5";"2.5";"69";"Wind blowing from the north-northwest";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"2.1";"";"";"";"";"";"";
"12.02.2019 20:00";"8.1";"731.5";"745.9";"2.7";"63";"Wind blowing from the north-northwest";"5";"";"";"";"No significant weather observed. ";"";"";"";"";"";"";"";"";"";"";"1.3";"No precipitation";"6";"";"";"";"";
"12.02.2019 19:00";"10.8";"730.7";"745.2";"2.6";"48";"Wind blowing from the west-northwest";"6";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"0.2";"";"";"";"";"";"";
"12.02.2019 18:00";"12.5";"729.6";"744.1";"2.3";"48";"Wind blowing from the north-west";"8";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"1.8";"";"";"";"";"";"";
"12.02.2019 17:00";"14.1";"728.8";"743.2";"2.5";"42";"Wind blowing from the west-northwest";"10";"";"";"";"No significant weather observed. ";"";"";"";"";"";"";"";"";"";"";"1.4";"";"";"";"";"";"";
"12.02.2019 16:00";"14.5";"728.1";"742.5";"2.1";"41";"Wind blowing from the west-northwest";"9";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"1.4";"";"";"";"";"";"";
"12.02.2019 15:00";"14.1";"727.3";"741.7";"1.5";"46";"Wind blowing from the west-northwest";"12";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"2.7";"";"";"";"";"";"";
"12.02.2019 14:00";"15.3";"726.3";"740.7";"1.7";"42";"Wind blowing from the north-west";"11";"";"";"no clouds";"No significant weather observed. ";"Precipitation";"Precipitation";"";"";"";"";"";"";"";"";"2.5";"3.0";"6";"";"";"";"";
"12.02.2019 13:00";"13.4";"726.0";"740.4";"0.5";"50";"Wind blowing from the west-northwest";"9";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"3.2";"";"";"";"";"";"";
"12.02.2019 12:00";"12.4";"725.8";"740.2";"1.9";"61";"Wind blowing from the north-west";"10";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"5.1";"";"";"";"";"";"";
"12.02.2019 11:00";"11.9";"724.6";"739.0";"2.8";"78";"Wind blowing from the north-northwest";"8";"";"";"100%.";"Rain (not freezing). ";"";"Precipitation";"10.9";"";"";"";"1000-1500";"";"";"";"8.2";"";"";"";"";"";"";
"12.02.2019 10:00";"10.9";"725.5";"739.9";"2.7";"78";"Wind blowing from the north-west";"8";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"7.2";"";"";"";"";"";"";
"12.02.2019 09:00";"12.4";"723.9";"738.2";"0.2";"71";"Wind blowing from the west-northwest";"12";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"7.3";"";"";"";"";"";"";
"12.02.2019 08:00";"15.1";"721.8";"736.1";"-2.9";"94";"Wind blowing from the north-northwest";"11";"";"";"100%.";"Rain shower(s) or intermittent rain, slight. ";"Precipitation";"Precipitation";"";"";"";"";"200-300";"";"";"8.0";"14.1";"28.0";"24";"";"";"";"";
"12.02.2019 07:00";"14.7";"722.8";"737.1";"-2.7";"90";"Wind blowing from the north-northwest";"14";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"13.1";"";"";"";"";"";"";
"12.02.2019 06:00";"15.7";"723.7";"738.0";"-2.7";"81";"Wind blowing from the north-northwest";"11";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"12.5";"";"";"";"";"";"";
"12.02.2019 05:00";"15.5";"724.7";"739.1";"-2.6";"86";"Wind blowing from the north-northwest";"10";"";"";"100%.";"Rain (not freezing). ";"";"Precipitation";"";"";"";"";"300-600";"";"";"";"13.2";"";"";"";"";"";"";
"12.02.2019 04:00";"14.9";"725.5";"739.9";"-2.7";"91";"Wind blowing from the north-northwest";"9";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"13.4";"";"";"";"";"";"";
"12.02.2019 03:00";"14.3";"726.4";"740.8";"-2.7";"93";"Wind blowing from the north-northwest";"10";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"13.2";"";"";"";"";"";"";
"12.02.2019 02:00";"14.9";"727.3";"741.7";"-2.4";"93";"Wind blowing from the north-northwest";"9";"";"";"90  or more, but not 100%";"Rain shower(s) or intermittent rain, moderate. ";"Precipitation";"Precipitation";"";"";"";"";"300-600";"";"";"6.0";"13.8";"4.0";"6";"";"";"";"";
"12.02.2019 01:00";"15.2";"728.2";"742.6";"-2.2";"93";"Wind blowing from the north-northwest";"9";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"14.1";"";"";"";"";"";"";
"12.02.2019 00:00";"15.1";"729.1";"743.5";"-2.1";"92";"Wind blowing from the north-northwest";"9";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"13.8";"";"";"";"";"";"";
"11.02.2019 23:00";"15.4";"729.7";"744.1";"-1.5";"93";"Wind blowing from the north";"10";"";"";"100%.";"Rain shower(s) or intermittent rain, slight. ";"";"Precipitation";"";"20.4";"";"";"100-200";"";"";"";"14.3";"";"";"";"";"";"";
"11.02.2019 22:00";"16.0";"730.4";"744.9";"-1.1";"95";"Wind blowing from the north-northwest";"7";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"15.2";"";"";"";"";"";"";
"11.02.2019 21:00";"16.4";"731.2";"745.6";"-0.3";"90";"Wind blowing from the north-northwest";"8";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"14.8";"";"";"";"";"";"";
"11.02.2019 20:00";"16.4";"731.2";"745.7";"-0.6";"92";"Wind blowing from the north-northwest";"7";"";"";"100%.";"Rain shower(s) or intermittent rain, slight. ";"Precipitation";"Precipitation";"";"";"";"";"200-300";"";"";"";"15.1";"3.0";"6";"";"";"";"";
"11.02.2019 19:00";"16.3";"731.5";"745.9";"-0.6";"93";"Wind blowing from the north-northwest";"8";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"15.2";"";"";"";"";"";"";
"11.02.2019 18:00";"16.6";"731.5";"746.0";"-1.1";"88";"Wind blowing from the north-northwest";"9";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"14.6";"";"";"";"";"";"";
"11.02.2019 17:00";"16.9";"731.8";"746.3";"-1.2";"88";"Wind blowing from the north-northwest";"10";"";"";"100%.";"Rain shower(s) or intermittent rain, slight. ";"";"";"";"";"";"";"200-300";"";"";"";"14.9";"";"";"";"";"";"";
"11.02.2019 16:00";"16.9";"732.1";"746.7";"-1.1";"89";"Wind blowing from the north-northwest";"10";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"15.1";"";"";"";"";"";"";
"11.02.2019 15:00";"17.2";"732.6";"747.1";"-1.2";"84";"Wind blowing from the north-northwest";"9";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"14.5";"";"";"";"";"";"";
"11.02.2019 14:00";"19.3";"733.0";"747.5";"-1.5";"80";"Wind blowing from the north-northwest";"11";"";"";"100%.";"Rain shower(s) or intermittent rain, slight. ";"Precipitation";"Precipitation";"";"";"";"";"200-300";"";"";"";"15.8";"5.0";"6";"";"";"";"";
"11.02.2019 13:00";"18.9";"733.2";"747.7";"-1.9";"77";"Wind blowing from the north-northwest";"11";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"14.8";"";"";"";"";"";"";
"11.02.2019 12:00";"18.2";"733.8";"748.3";"-1.6";"86";"Wind blowing from the north-northwest";"13";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"15.8";"";"";"";"";"";"";
"11.02.2019 11:00";"17.6";"734.5";"749.1";"-1.4";"87";"Wind blowing from the north-west";"7";"";"";"100%.";"Rain shower(s) or intermittent rain, slight. ";"";"Precipitation";"15.3";"";"";"";"300-600";"";"";"8.0";"15.4";"";"";"";"";"";"";
"11.02.2019 10:00";"17.0";"735.1";"749.7";"-0.9";"91";"Wind blowing from the north-northwest";"8";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"15.5";"";"";"";"";"";"";
"11.02.2019 09:00";"17.0";"735.4";"749.9";"-0.7";"91";"Wind blowing from the north-northwest";"9";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"15.5";"";"";"";"";"";"";
"11.02.2019 08:00";"16.5";"735.9";"750.4";"-0.3";"88";"Wind blowing from the north-northwest";"8";"";"";"100%.";"No significant weather observed. ";"";"";"";"";"";"";"200-300";"";"";"";"14.5";"No precipitation";"24";"";"";"";"";
"11.02.2019 07:00";"16.4";"736.0";"750.7";"-0.3";"86";"Wind blowing from the north-northwest";"6";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"14.1";"";"";"";"";"";"";
"11.02.2019 06:00";"15.8";"736.1";"750.7";"-0.6";"90";"Wind blowing from the north";"6";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"14.2";"";"";"";"";"";"";
"11.02.2019 05:00";"15.8";"736.2";"750.8";"-0.9";"89";"Wind blowing from the north";"5";"";"";"100%.";"No significant weather observed. ";"";"";"";"";"";"";"200-300";"";"";"";"14.0";"";"";"";"";"";"";
"11.02.2019 04:00";"15.9";"736.3";"751.0";"-1.3";"89";"Wind blowing from the north";"6";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"14.1";"";"";"";"";"";"";
"11.02.2019 03:00";"16.1";"736.7";"751.3";"-1.1";"87";"Wind blowing from the north";"6";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"13.9";"";"";"";"";"";"";
"11.02.2019 02:00";"16.0";"737.1";"751.7";"-0.8";"88";"Wind blowing from the north-northwest";"7";"";"";"100%.";"No significant weather observed. ";"";"";"";"";"";"";"300-600";"";"";"";"14.0";"No precipitation";"6";"";"";"";"";
"11.02.2019 01:00";"16.2";"737.6";"752.2";"-0.4";"87";"Wind blowing from the north-northwest";"7";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"14.0";"";"";"";"";"";"";
"11.02.2019 00:00";"15.9";"737.8";"752.5";"-0.3";"88";"Wind blowing from the north-northwest";"6";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"13.9";"";"";"";"";"";"";
"10.02.2019 23:00";"15.5";"737.9";"752.5";"0.1";"89";"Wind blowing from the north-northwest";"7";"";"";"10%  or less, but not 0";"No significant weather observed. ";"";"";"";"22.9";"";"";"300-600";"";"";"";"13.7";"";"";"";"";"";"";
"10.02.2019 22:00";"15.7";"738.0";"752.6";"0.5";"87";"Wind blowing from the north-northwest";"7";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"13.5";"";"";"";"";"";"";
"10.02.2019 21:00";"15.8";"738.1";"752.7";"1.1";"84";"Wind blowing from the north-northwest";"7";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"13.1";"";"";"";"";"";"";
"10.02.2019 20:00";"16.9";"737.8";"752.4";"0.7";"80";"Wind blowing from the north-northwest";"8";"";"";"90  or more, but not 100%";"No significant weather observed. ";"";"";"";"";"";"";"1500-2000";"";"";"";"13.4";"No precipitation";"6";"";"";"";"";
"10.02.2019 19:00";"18.0";"737.5";"752.1";"0.3";"72";"Wind blowing from the north-northwest";"7";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"12.9";"";"";"";"";"";"";
"10.02.2019 18:00";"20.1";"737.0";"751.6";"-0.7";"64";"Wind blowing from the north-northwest";"7";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"13.1";"";"";"";"";"";"";
"10.02.2019 17:00";"20.1";"737.1";"751.7";"-0.5";"61";"Wind blowing from the north-northwest";"9";"";"";"100%.";"No significant weather observed. ";"";"";"";"";"";"";"600-1000";"";"";"";"12.3";"";"";"";"";"";"";
"10.02.2019 16:00";"20.4";"737.2";"751.9";"-0.5";"62";"Wind blowing from the north-northwest";"8";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"12.9";"";"";"";"";"";"";
"10.02.2019 15:00";"18.8";"737.7";"752.3";"-0.2";"64";"Wind blowing from the north-northwest";"8";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"11.9";"";"";"";"";"";"";
"10.02.2019 14:00";"22.3";"737.6";"752.2";"-0.4";"52";"Wind blowing from the north-northwest";"9";"";"";"100%.";"No significant weather observed. ";"";"";"";"";"";"";"1000-1500";"";"";"";"12.0";"No precipitation";"6";"";"";"";"";
"10.02.2019 13:00";"22.1";"737.7";"752.3";"-0.4";"49";"Wind blowing from the west-northwest";"8";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"10.9";"";"";"";"";"";"";
"10.02.2019 12:00";"20.3";"737.9";"752.5";"-0.2";"52";"Wind blowing from the north-west";"8";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"10.1";"";"";"";"";"";"";
"10.02.2019 11:00";"19.7";"738.0";"752.6";"-0.1";"53";"Wind blowing from the north-west";"8";"";"";"10%  or less, but not 0";"No significant weather observed. ";"";"";"5.5";"";"";"";"600-1000";"";"";"";"9.9";"";"";"";"";"";"";
"10.02.2019 10:00";"18.7";"738.1";"752.7";"0.2";"53";"Wind blowing from the north-northwest";"8";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"8.9";"";"";"";"";"";"";
"10.02.2019 09:00";"16.5";"738.1";"752.8";"0.4";"60";"Wind blowing from the north-northwest";"7";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"8.7";"";"";"";"";"";"";
"10.02.2019 08:00";"14.4";"738.1";"752.8";"0.6";"63";"Wind blowing from the north-northwest";"7";"";"";"";"No significant weather observed. ";"";"";"";"";"";"";"";"";"";"";"7.5";"1.0";"24";"";"";"";"";
"10.02.2019 07:00";"11.2";"737.9";"752.5";"0.4";"72";"Wind blowing from the north-northwest";"6";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"6.3";"";"";"";"";"";"";
"10.02.2019 06:00";"7.9";"737.7";"752.3";"0.5";"83";"Wind blowing from the north-northwest";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"5.2";"";"";"";"";"";"";
"10.02.2019 05:00";"7.4";"737.5";"752.1";"0.2";"81";"Wind blowing from the north-northwest";"5";"";"";"";"No significant weather observed. ";"";"";"";"";"";"";"";"";"";"";"4.4";"";"";"";"";"";"";
"10.02.2019 04:00";"7.1";"737.5";"752.2";"0.3";"83";"Wind blowing from the north";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"4.4";"";"";"";"";"";"";
"10.02.2019 03:00";"7.6";"737.2";"751.9";"-0.1";"84";"Wind blowing from the north-west";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"5.1";"";"";"";"";"";"";
"10.02.2019 02:00";"6.8";"737.3";"751.9";"-0.2";"81";"Wind blowing from the north";"4";"";"";"";"No significant weather observed. ";"";"";"";"";"";"";"";"";"";"";"3.8";"No precipitation";"6";"";"";"";"";
"10.02.2019 01:00";"6.5";"737.2";"751.9";"0.0";"81";"Wind blowing from the north";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"3.5";"";"";"";"";"";"";
"10.02.2019 00:00";"6.6";"737.3";"751.9";"0.4";"76";"Wind blowing from the north-northwest";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"2.7";"";"";"";"";"";"";
"09.02.2019 23:00";"7.9";"737.5";"752.2";"1.8";"65";"Wind blowing from the north-northwest";"4";"";"";"";"No significant weather observed. ";"";"";"";"18.6";"";"";"";"";"";"";"1.7";"";"";"";"";"";"";
"09.02.2019 22:00";"10.8";"737.2";"751.9";"2.3";"56";"Wind blowing from the west";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"2.4";"";"";"";"";"";"";
"09.02.2019 21:00";"11.9";"736.9";"751.5";"3.2";"51";"Wind blowing from the west";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"2.1";"";"";"";"";"";"";
"09.02.2019 20:00";"12.9";"735.7";"750.2";"3.2";"45";"Wind blowing from the south-west";"4";"";"";"";"No significant weather observed. ";"";"";"";"";"";"";"";"";"";"";"1.3";"No precipitation";"6";"";"";"";"";
"09.02.2019 19:00";"15.1";"734.9";"749.5";"3.1";"46";"Wind blowing from the south";"6";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"3.6";"";"";"";"";"";"";
"09.02.2019 18:00";"16.2";"733.7";"748.3";"3.0";"43";"Wind blowing from the south";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"3.6";"";"";"";"";"";"";
"09.02.2019 17:00";"16.8";"732.5";"747.1";"2.6";"39";"Wind blowing from the south";"8";"";"";"10%  or less, but not 0";"No significant weather observed. ";"";"";"";"";"";"";"1500-2000";"";"";"";"2.8";"";"";"";"";"";"";
"09.02.2019 16:00";"15.9";"731.8";"746.2";"2.1";"54";"Wind blowing from the east";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"6.6";"";"";"";"";"";"";
"09.02.2019 15:00";"15.3";"730.7";"745.2";"0.9";"58";"Wind blowing from the south";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"7.1";"";"";"";"";"";"";
"09.02.2019 14:00";"17.4";"729.9";"744.4";"0.4";"54";"Wind blowing from the north-northeast";"3";"";"";"70 – 80%.";"Rain (not freezing). ";"Precipitation";"Precipitation";"";"";"";"";"2000-2500";"";"";"";"8.0";"1.0";"6";"";"";"";"";
"09.02.2019 13:00";"14.5";"729.7";"744.2";"0.5";"68";"Wind blowing from the north";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"8.7";"";"";"";"";"";"";
"09.02.2019 12:00";"15.5";"729.8";"744.3";"0.7";"63";"Wind blowing from the north-west";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"8.5";"";"";"";"";"";"";
"09.02.2019 11:00";"14.1";"729.5";"744.0";"0.8";"73";"Wind blowing from the west-northwest";"5";"";"";"100%.";"No significant weather observed. ";"";"Precipitation";"10.4";"";"";"";"300-600";"";"";"";"9.3";"";"";"";"";"";"";
